"Sample_ID","Amphichaeta.leydigii","Buchholzia.appendiculata","Chaetogaster.diaphanus","Chaetogaster.diastrophus","Cognettia.sp_","Dero.digitata","Dorydrilus.michaelseni","Eiseniella.tetraedra","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.profundicola","Limnodrilus.udekemianus","Lumbricillus.lineatus","Lumbriculidae.sp_","Marionina.argentea","Nais.barbata","Nais.communis","Nais.elinguis","Nais.simplex","Nais.variabilis","Ophidonais.serpentina","Potamothrix.hammoniensis","Potamothrix.moldaviensis","Potamothrix.vejdovskyi","Pristina.foreli","Pristina.longiseta","Pristinella.bilobata","Propappus.volki","Psammoryctides.albicola","Psammoryctides.barbatus","Rhynchelmis.limosella","Slavina.appendiculata","Specaria.josinae","Stylaria.lacustris","Stylodrilus.heringianus","Tubifex.ignotus","Tubifex.tubifex","Tubificidae","Uncinais.uncinata","Vejdovskyella.comata","Vejdovskyella.intermedia"
"990923_32_MZB",3658,0,14631,0,0,0,0,0,0,0,0,0,3658,1463,0,0,3658,3658,0,0,0,0,0,0,0,0,19020,0,0,366,0,0,0,10607,1829,0,0,13167,0,0,0
"990923_33_MZB",366,0,0,0,0,0,0,0,0,1463,0,0,0,366,0,0,1463,0,0,366,0,732,0,366,0,0,732,0,0,2560,0,0,0,0,0,0,0,13533,732,0,4389
"990923_35_MZB",17557,0,16459,4389,0,0,0,0,0,1097,0,0,0,0,0,0,2195,0,0,0,0,366,732,0,0,0,0,0,732,1829,0,1097,0,1829,0,0,0,37308,1463,0,5486
"990924_36_MZB",7681,0,2195,0,0,1829,0,0,366,1097,0,0,0,0,0,0,4755,0,0,1463,0,0,732,0,0,0,0,0,0,366,0,0,0,2560,0,0,0,23775,5121,1097,1097
"990924_38_MZB",0,0,14996,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,366,366,0,0,0,0,0,0,0,0,0,33285,0,366,0,10607,366,0,2195
"990924_40_MZB",0,0,8413,0,0,732,0,0,0,0,0,0,0,0,0,0,732,732,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,366,732,18288,366,0,2195
"990924_43_MZB",0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,1097,0,0,0,0,0,5486,1097,0,0,366,0,0,366,5852,0,0,0,1097,0,1097,2195
"990924_44_MZB",1097,0,1463,3292,0,0,0,0,0,0,0,0,0,732,0,0,0,1829,0,0,0,0,0,732,732,0,0,0,0,0,0,0,0,2195,2560,0,0,0,0,0,1829
"990924_45_MZB",14265,0,0,0,0,0,0,0,0,0,0,0,0,732,0,0,2195,0,0,0,0,0,1097,0,0,2195,0,0,0,1463,0,0,0,0,4023,0,0,6218,4755,0,0
"990924_46_MZB",13899,0,732,0,366,0,0,0,0,1829,0,0,0,0,366,0,0,0,732,0,0,0,366,1097,1829,0,0,0,0,4755,3292,0,0,732,0,0,0,15728,0,366,5121
"990924_47_MZB",0,0,1463,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,0,0,0,4755,0,0,0,0,0,0,6950,0,0,0,732,0,0,0,6583,0,366,0
"990924_52_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,4023,0,0,1829,0,0,0,5121,0,0,1097,366,0,0,1829,29993,0,0,0
"990924_53_MZB",0,0,0,0,0,11339,0,0,0,2560,0,0,0,0,0,0,20849,0,0,0,0,0,732,0,0,3292,0,0,0,0,0,0,0,0,0,0,1463,94733,4389,0,13168
"990924_61_MZB",0,0,0,0,0,1097,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,732,1463,1463,0,0,1097,0,732,8778,0,0,366,0,0,1097,366,24140,0,0,0
"990924_62_MZB",3658,0,3658,0,0,17922,0,0,1829,366,0,1829,0,0,0,0,0,0,0,0,0,1463,5121,2560,0,0,0,0,732,1097,0,0,1097,0,0,0,2195,99487,1097,0,0
"990924_63_MZB",0,0,366,0,0,5852,0,366,1829,0,0,732,0,0,0,0,0,0,0,0,0,366,732,366,0,0,0,0,0,732,0,0,366,8413,0,0,0,28895,0,0,0
"990924_65_MZB",47549,0,7315,7315,0,0,0,0,0,732,366,732,0,0,0,0,18654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5121,732,0,0
"990924_67_MZB",0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,1097,0,0,0,0,0,0,0,0,1097,0,0,0,2195,0,0,0,0,0,0,0
"990924_68_MZB",6584,11339,7681,8778,0,0,0,0,0,0,0,0,0,0,2926,0,0,0,0,0,0,0,0,0,9876,0,0,1097,0,0,0,0,0,0,366,0,0,0,366,3292,0
"990924_69_MZB",0,0,0,0,0,0,0,0,0,1463,732,732,0,0,0,0,1097,0,0,0,0,0,366,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,17191,0,6584,0
"990930_70_MZB",1829,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,4755,0,1829,732
"990930_71_MZB",0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,5852,0,0,0
"990930_75_MZB",4023,366,732,366,0,0,0,0,732,0,0,0,0,0,1097,0,0,366,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,0,0,12070,366,732,732
"990930_76_MZB",0,0,366,732,0,0,366,366,0,366,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6584,0,0,366,0,0,0,0,8778,0,0,0
"990930_77_MZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,732,366,3292,0,0,0
"990930_78_MZB",0,0,0,366,0,366,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41697,0,0,0
"990930_79_MZB",0,0,0,0,0,0,0,0,0,2560,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31090,0,0,0
"990930_80_MZB",0,0,0,0,0,0,0,0,3292,3658,0,732,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,74982,0,0,0
"990930_82_MZB",0,0,0,0,0,0,0,0,0,732,0,366,0,0,0,0,0,0,0,0,0,732,0,0,732,0,0,0,0,366,0,0,0,0,0,0,0,4390,0,0,0
"990930_83_MZB",0,0,0,0,0,1463,0,0,0,366,1463,366,0,0,0,0,366,0,0,0,366,0,0,366,0,0,0,0,0,0,0,0,0,0,0,366,1097,36211,0,0,0
"990930_84_MZB",1097,0,0,732,0,366,0,732,0,366,0,0,0,0,0,0,366,0,0,0,0,0,2926,732,0,0,0,0,0,6584,366,0,0,366,0,0,0,22677,0,0,0
"990930_85_MZB",0,0,0,0,0,366,0,0,0,1463,0,0,0,0,0,0,0,366,0,0,0,0,732,1463,0,0,0,0,0,0,0,0,0,0,0,0,732,11704,0,0,0
